# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.338000168793974431e+01,9.094420080901180370e+00,1.388574777707503483e+00,-1.254184292585373228e+00,3.275454214482200754e-01,5.207115193834930267e+00,3.014099130236319812e+00
1.347985244680496741e+01,9.188761759337868540e+00,1.421171110939291937e+00,-1.222350708826267507e+00,3.102826091580376811e-01,5.264595788165013168e+00,3.293071578461065130e+00
1.357970320567018874e+01,9.282136774956303071e+00,1.456710925063110729e+00,-1.192121194106219750e+00,2.953257621144043110e-01,5.326687545274122471e+00,3.510857299518352459e+00
1.367955396453541006e+01,9.374362256912281310e+00,1.494965047154021232e+00,-1.163315208303827619e+00,2.818554116583231739e-01,5.392098268413445084e+00,3.692733750070960053e+00
1.377940472340063316e+01,9.465522654032637817e+00,1.535822544529193756e+00,-1.135776630143777499e+00,2.698139817190041700e-01,5.460052039192564877e+00,3.841011315491805966e+00
1.387925548226585448e+01,9.555566052861536264e+00,1.579131419761496069e+00,-1.109370422373928466e+00,2.588179659032544544e-01,5.529848466279560171e+00,3.967333260695563801e+00
1.397910624113107581e+01,9.644274842668673742e+00,1.624656983838518531e+00,-1.084088548459090973e+00,2.483554597934207187e-01,5.601027274841444026e+00,4.087438069644089289e+00
1.407895699999629890e+01,9.732165657215022136e+00,1.672554063721682915e+00,-1.059740243763867440e+00,2.382308523612167162e-01,5.673427017214102364e+00,4.207446580995795493e+00
1.417880775886152023e+01,9.818518224183444332e+00,1.722314051680035929e+00,-1.036476068259191141e+00,2.287061385087850451e-01,5.746999877122804357e+00,4.318611164971067673e+00
1.427865851772674333e+01,9.904081429725824393e+00,1.774258032285175757e+00,-1.014049701549581073e+00,2.193838933966021365e-01,5.821549689883433132e+00,4.433968370533359682e+00
1.437850927659196465e+01,9.988225466314000656e+00,1.827900276925438439e+00,-9.926108479917543637e-01,2.103491234384114172e-01,5.897110394502225184e+00,4.550479743852615222e+00
1.447836003545718597e+01,1.007129862455740188e+01,1.883347229514910515e+00,-9.720456321990955662e-01,2.013551358167041949e-01,5.973662922880332182e+00,4.676761823589527189e+00
1.457821079432240907e+01,1.015333596203471700e+01,1.940521856797059685e+00,-9.523682722466598749e-01,1.922287457204887029e-01,6.051330857789039008e+00,4.819290054836558923e+00
1.467806155318763039e+01,1.023391476399139854e+01,1.999007987450311497e+00,-9.336758482047616825e-01,1.831823429519846835e-01,6.130336425414506962e+00,4.970537886837352204e+00
1.477791231205285172e+01,1.031396822558636650e+01,2.059379518043004786e+00,-9.157845044802559453e-01,1.736791625817983853e-01,6.210768764710372203e+00,5.151441726508871888e+00
1.487776307091807482e+01,1.039218550938690200e+01,2.120521239593585072e+00,-8.990120309014145716e-01,1.641867755481523083e-01,6.293043729387694185e+00,5.344713484988709240e+00
1.497761382978329614e+01,1.047034049711991877e+01,2.183705333933136483e+00,-8.830075147003776381e-01,1.542472606083528930e-01,6.377283651741733728e+00,5.569580526883311400e+00
1.507746458864851746e+01,1.054667074154730066e+01,2.247385033838876556e+00,-8.681773514861671481e-01,1.440646047553130749e-01,6.463899787211501824e+00,5.602157580640922063e+00
