# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
6.989553120565537903e+00,7.008840529196772806e+00,5.411207305507533150e+00,2.562510352914625145e+00,1.542580263745167157e-01,6.590636973219741179e+00,-5.433072468194903415e+00
7.089403879430760114e+00,6.954838516436241846e+00,5.327197520989939150e+00,2.578149707682231728e+00,1.589235541427305998e-01,6.507803231116707110e+00,-5.379504872670779925e+00
7.189254638295982325e+00,6.902129162453043421e+00,5.242263150250714432e+00,2.594280076430831805e+00,1.642568939586546706e-01,6.424734049532507818e+00,-5.294100750170108505e+00
7.289105397161204536e+00,6.850973698317151417e+00,5.156733140138046068e+00,2.610968598040908528e+00,1.705964306508597483e-01,6.341921447983688509e+00,-5.225358716581101959e+00
7.388956156026425859e+00,6.800993410754937685e+00,5.069838323529800128e+00,2.628377048716725284e+00,1.767921780861358150e-01,6.259109807792820668e+00,-5.046092552749226634e+00
7.488806914891648070e+00,6.752947641798336953e+00,4.982776936726976302e+00,2.646420277064664539e+00,1.860543687169052829e-01,6.178085726551223900e+00,-4.888879349829225340e+00
7.588657673756870281e+00,6.706231535084216766e+00,4.894281367322816934e+00,2.665492387648837891e+00,1.950639152843064161e-01,6.098559388778143742e+00,-4.629269161843837743e+00
7.688508432622092492e+00,6.661387435166713722e+00,4.805162702938468477e+00,2.685497225740017146e+00,2.070956794684898905e-01,6.022288148274797415e+00,-4.305749184375612160e+00
7.788359191487313815e+00,6.618360569773604318e+00,4.715062852901550805e+00,2.706874299246857962e+00,2.211678911945405557e-01,5.950469720430872300e+00,-3.992647609878643422e+00
7.888209950352536026e+00,6.577247350490670996e+00,4.623836347945444736e+00,2.729723403234426637e+00,2.352203080679268199e-01,5.883090353403478190e+00,-3.720491570750251498e+00
7.988060709217758237e+00,6.538421368199125006e+00,4.531985225524345573e+00,2.753828514104104563e+00,2.483315837617984523e-01,5.819601729751522790e+00,-3.429960798514311016e+00
8.087911468082980448e+00,6.501778575515649194e+00,4.438927299733520293e+00,2.779350170579740542e+00,2.621333767776866108e-01,5.760451016691980897e+00,-3.259172360090091036e+00
8.187762226948201771e+00,6.467656746989875138e+00,4.345150588569802963e+00,2.806059473516518743e+00,2.725503682778274150e-01,5.703677256722419209e+00,-3.102676921487940831e+00
8.287612985813423094e+00,6.436074034753068496e+00,4.250404305561109375e+00,2.833781468095347922e+00,2.826710621887940089e-01,5.649099482094842806e+00,-2.980599274888712014e+00
8.387463744678646194e+00,6.407166788184413875e+00,4.154763505566937631e+00,2.862524364906653851e+00,2.918683054493567686e-01,5.596167863785241892e+00,-2.908169279470060431e+00
8.487314503543867517e+00,6.381076198662245957e+00,4.058384295485468307e+00,2.892048157022633070e+00,2.996666338615627256e-01,5.544035438264753424e+00,-2.805551399523329437e+00
8.587165262409090616e+00,6.357877964482280042e+00,3.961250992591186293e+00,2.922410548052516877e+00,3.085593481321729503e-01,5.493273711383756641e+00,-2.804550908628313799e+00
